,filename,architecture,min_val_loss,is_min
101,sinnormal10d_1,[ 80.  97. 120. 183. 284. 205. 170.  91.],2.599561929702759,0
102,sinnormal10d_1,[1123.],2.6014564037323,0
103,sinnormal10d_1,[344. 414. 298. 260.],2.5998618602752686,0
104,sinnormal10d_1,[443.],2.601503372192383,0
105,sinnormal10d_1,[417. 693. 441. 385. 276. 191.],2.5994269847869873,0
106,sinnormal10d_1,[291. 468. 640. 673. 558. 428. 272. 147. 137.],2.5996580123901367,0
107,sinnormal10d_1,[1407. 1272.],2.601544141769409,0
108,sinnormal10d_1,[ 450.  707.  782. 1072. 1123. 1057.  656.  397.  268.  190.],2.6001827716827393,0
109,sinnormal10d_1,[197. 297. 594. 797. 784. 553. 323.],2.5989930629730225,0
110,sinnormal10d_1,[220. 145.  75.  67.  52.],2.5995452404022217,0
111,sinnormal10d_1,[297.],2.600597858428955,0
112,sinnormal10d_1,[516. 370.],2.6017696857452393,0
113,sinnormal10d_1,[577. 403. 324. 320. 290.],2.5997416973114014,0
114,sinnormal10d_1,[605. 657. 487. 459.],2.5995538234710693,0
115,sinnormal10d_1,[220. 338. 539. 956. 665. 649. 451. 411.],2.6002230644226074,0
116,sinnormal10d_1,[288. 329. 204.],2.600304126739502,0
117,sinnormal10d_1,[490. 498. 863. 541. 337. 177. 140. 121. 105.  79.],2.5992209911346436,0
118,sinnormal10d_1,[431. 264. 230. 224. 155.],2.599316358566284,0
119,sinnormal10d_1,[1331. 1724. 1332.  913.  509.  258.  193.],2.5997002124786377,0
120,sinnormal10d_1,[1745.],2.601780414581299,0
121,sinnormal10d_1,[1445.],2.601778030395508,0
122,sinnormal10d_1,[1001. 1573. 1709. 1468. 1214.],2.599762201309204,0
123,sinnormal10d_1,[1169.  949.  904.],2.6004538536071777,0
124,sinnormal10d_1,[1787. 1467.],2.601590871810913,0
125,sinnormal10d_1,[405. 700. 505.],2.6003201007843018,0
126,sinnormal10d_1,[ 549.  801. 1060. 1039.],2.5994207859039307,0
127,sinnormal10d_1,[ 721. 1369. 1494. 1147. 1139. 1022.  773.],2.600179433822632,0
128,sinnormal10d_1,[ 648.  744.  798.  864. 1217.  946.  619.  351.  304.  293.],2.6000289916992188,0
129,sinnormal10d_1,[519. 658. 441. 425. 292. 269. 247.],2.5997579097747803,0
130,sinnormal10d_1,[364. 626. 845. 778.],2.5995962619781494,0
131,sinnormal10d_1,[464. 642. 780. 566.],2.600015640258789,0
132,sinnormal10d_1,[308. 241. 176. 148. 141.],2.5994131565093994,0
133,sinnormal10d_1,[156. 197. 170. 106.  70.  60.  59.],2.599550724029541,0
134,sinnormal10d_1,[481. 473. 433.],2.6001248359680176,0
135,sinnormal10d_1,[348. 242. 214. 190.],2.5993523597717285,0
136,sinnormal10d_1,[130. 219. 349. 281. 259. 181. 169. 166. 109.],2.6002583503723145,0
137,sinnormal10d_1,[982. 824. 599. 544. 509. 498. 293. 274.],2.599362850189209,0
138,sinnormal10d_1,[990. 939. 524. 322. 299. 177. 131. 103.  60.  54.],2.5990853309631348,0
139,sinnormal10d_1,[708.],2.601515531539917,0
140,sinnormal10d_1,[448. 653. 981. 770. 751. 421. 271.],2.5995171070098877,0
141,sinnormal10d_1,[143. 158.  82.  66.  41.  39.  23.  17.  12.],2.5992815494537354,0
142,sinnormal10d_1,[1145. 1089.  609.  325.  164.],2.5995123386383057,0
143,sinnormal10d_1,[610. 828. 733. 426. 304. 189. 187.  93.],2.5994205474853516,0
144,sinnormal10d_1,[559. 504.],2.6007280349731445,0
145,sinnormal10d_1,[ 86. 112. 147. 149.  96.  55.  41.  20.],2.5995852947235107,0
146,sinnormal10d_1,[859. 460. 355.],2.6001529693603516,0
